frame,baseline_psnr,baseline_ssim,baseline_mse,finetuned_psnr,finetuned_ssim,finetuned_mse
triplet_00000,35.31302238108162,0.9381084028345598,19.132781982421875,36.02730108651442,0.9459227898874412,16.231185913085938
triplet_00001,32.89057084892982,0.9023745949528114,33.421295166015625,33.764581585389344,0.9175237726226141,27.328903198242188
triplet_00002,40.64274586908851,0.9804983025457429,5.60797119140625,41.466452804509906,0.98481756979435,4.6391143798828125
triplet_00003,30.369702069679366,0.8286128228687144,59.71867370605469,31.318044721918046,0.8491925980492097,48.00382995605469
triplet_00004,31.11140722212695,0.9125738056602166,50.34306335449219,31.81175561272262,0.9183111750463853,42.845458984375
triplet_00005,29.26901896397687,0.8680264101788566,76.94465637207031,30.530348947236774,0.8878920982250086,57.550018310546875
triplet_00006,34.35773620572559,0.951593485254775,23.84002685546875,35.50550625653659,0.9624770145601366,18.303314208984375
triplet_00007,33.14585768081548,0.9051332894678216,31.513351440429688,33.859634792878296,0.9213296296195768,26.737258911132812
triplet_00008,34.13153152171367,0.9028303291715017,25.114654541015625,35.3825604208454,0.92587831425697,18.828872680664062
triplet_00009,42.36346712123853,0.9881203966025507,3.773406982421875,43.797384658205004,0.9899825363190794,2.7123260498046875
triplet_00010,32.30151899427489,0.9151629674952031,38.27616882324219,33.364174812774856,0.9307976770659994,29.968353271484375
triplet_00011,34.33452670126768,0.9078276462905227,23.9677734375,35.35037455885296,0.9263211763750233,18.96893310546875
triplet_00012,32.28995537260522,0.8446292938834423,38.37821960449219,33.12391730855359,0.8681486833636007,31.672958374023438
triplet_00013,43.06718953691407,0.9807933750366287,3.2089385986328125,44.25806899481977,0.9846453184179321,2.4393463134765625
triplet_00014,34.10523300375833,0.917062526648238,25.267196655273438,35.04107979721618,0.9289909183171587,20.369125366210938
triplet_00015,41.93776425286622,0.9873732859447398,4.162017822265625,43.76423484783725,0.9902786576146253,2.7331085205078125
triplet_00016,32.50222134881202,0.9070166597912626,36.54754638671875,33.98280873961849,0.9351777788977539,25.989593505859375
